                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1822,                0.83683,                 1.2087,                0.86523,                 0.8351,                0.90471,                0.57011,                 1.2846,                0.85984,                 1.4507,              0.0006643,              0.0006643,              0.0006643
                      2,                 1.1513,                0.67244,                 1.1921,                0.87684,                 0.9141,                0.95739,                 0.6383,                 1.1858,                0.69692,                 1.3255,              0.0013178,              0.0013178,              0.0013178
                      3,                 1.1397,                0.63914,                 1.1946,                0.84576,                0.90626,                0.94552,                0.61814,                 1.2029,                0.65915,                 1.3891,              0.0019581,              0.0019581,              0.0019581
                      4,                 1.1297,                 0.6191,                 1.1876,                0.82572,                0.90405,                0.92277,                0.60377,                 1.1759,                0.78015,                 1.3533,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1106,                0.58956,                 1.1684,                0.81835,                0.89959,                0.93218,                0.61229,                 1.2488,                0.76123,                 1.3815,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0663,                0.52336,                 1.1407,                0.81982,                0.73355,                0.81437,                0.49787,                 1.3202,                  1.201,                  1.437,               0.001901,               0.001901,               0.001901
                      7,                 1.0398,                0.49417,                 1.1408,                0.85577,                 0.8684,                0.93359,                0.64128,                 1.1763,                0.77647,                  1.324,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.025,                 0.4637,                 1.1236,                0.85026,                 0.8921,                0.92674,                 0.6258,                 1.2149,                0.68801,                 1.3708,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0206,                0.46416,                 1.1202,                0.86099,                0.88439,                0.92725,                0.64932,                  1.158,                 0.8201,                 1.3207,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0217,                 0.4524,                 1.1173,                0.85699,                0.80988,                0.90394,                0.59953,                 1.1929,                0.90368,                 1.3561,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0145,                0.43266,                 1.1097,                0.82827,                0.86515,                0.91065,                0.61413,                 1.1881,                 0.8968,                 1.3455,               0.001802,               0.001802,               0.001802
                     12,                 1.0031,                0.42777,                 1.1177,                0.87798,                0.85176,                 0.9128,                0.61842,                 1.2176,                0.85388,                  1.386,              0.0017822,              0.0017822,              0.0017822
                     13,                0.99901,                0.42238,                 1.1091,                0.86576,                0.89129,                0.93637,                0.65775,                 1.1239,                0.83991,                 1.2989,              0.0017624,              0.0017624,              0.0017624
                     14,                0.98791,                0.41267,                  1.102,                  0.876,                0.85335,                0.92263,                 0.6198,                 1.2375,                 0.8785,                 1.3946,              0.0017426,              0.0017426,              0.0017426
                     15,                0.98681,                0.40931,                 1.1037,                0.88899,                 0.8427,                 0.9062,                0.62002,                 1.1961,                  1.006,                 1.3503,              0.0017228,              0.0017228,              0.0017228
                     16,                0.97841,                0.40593,                 1.0964,                0.85452,                 0.8632,                0.91449,                0.63935,                 1.1595,                0.93262,                 1.3355,               0.001703,               0.001703,               0.001703
                     17,                0.97561,                0.39763,                 1.0869,                0.88993,                0.84726,                 0.9256,                0.63539,                 1.1805,                0.79775,                 1.3349,              0.0016832,              0.0016832,              0.0016832
                     18,                0.98276,                0.41313,                 1.0961,                0.86403,                0.82865,                0.89821,                0.61832,                 1.1765,                0.98641,                 1.3225,              0.0016634,              0.0016634,              0.0016634
                     19,                0.97462,                0.39537,                 1.0908,                0.87417,                  0.868,                0.92518,                0.64333,                  1.189,                0.82133,                 1.3601,              0.0016436,              0.0016436,              0.0016436
                     20,                0.96541,                0.38902,                  1.095,                0.88272,                0.83406,                0.90595,                0.61938,                 1.1967,                0.93356,                 1.3577,              0.0016238,              0.0016238,              0.0016238
