                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1833,                0.87266,                  1.164,                 0.8282,                0.81772,                0.88522,                0.56661,                 1.1991,                0.89349,                 1.3521,             0.00066242,             0.00066242,             0.00066242
                      2,                 1.1196,                0.63751,                 1.1565,                0.77998,                0.83238,                0.85741,                0.54402,                 1.2987,                 1.1495,                 1.4337,              0.0013159,              0.0013159,              0.0013159
                      3,                 1.0987,                0.56433,                 1.1602,                0.79342,                0.84079,                0.88663,                0.59196,                 1.1742,                0.94818,                 1.3303,              0.0019562,              0.0019562,              0.0019562
                      4,                 1.0892,                0.54062,                 1.1477,                0.85146,                 0.8126,                 0.9085,                0.57506,                 1.2457,                0.88647,                 1.3945,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0684,                0.49554,                 1.1247,                0.84383,                0.88726,                0.92995,                0.63458,                 1.1672,                0.74143,                  1.329,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0426,                0.48114,                 1.1245,                0.85845,                0.86525,                0.91498,                0.62532,                 1.1527,                0.89651,                 1.3313,               0.001901,               0.001901,               0.001901
                      7,                   1.02,                0.46892,                 1.1115,                0.85999,                0.84178,                0.91087,                0.63668,                 1.1341,                 1.0381,                 1.2756,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0108,                0.45749,                 1.1084,                0.86808,                0.86792,                0.92598,                0.61366,                 1.1804,                0.81669,                 1.3605,              0.0018614,              0.0018614,              0.0018614
                      9,                0.99314,                0.42784,                 1.0861,                0.82818,                 0.8337,                 0.8825,                0.58538,                 1.2017,                 1.0066,                 1.3644,              0.0018416,              0.0018416,              0.0018416
                     10,                0.99729,                0.42593,                 1.0973,                 0.8421,                0.85387,                0.91397,                0.62851,                 1.1829,                0.89534,                 1.3381,              0.0018218,              0.0018218,              0.0018218
                     11,                0.99139,                0.41523,                 1.0894,                0.87206,                0.85617,                0.91747,                 0.6348,                 1.1445,                 0.9095,                 1.3158,               0.001802,               0.001802,               0.001802
                     12,                0.98573,                0.41597,                 1.0907,                0.86333,                0.88266,                0.92295,                0.63592,                 1.1572,                0.82243,                 1.3085,              0.0017822,              0.0017822,              0.0017822
                     13,                0.98072,                0.41006,                 1.0835,                0.86569,                0.88846,                0.93533,                0.66104,                 1.1178,                0.69825,                  1.289,              0.0017624,              0.0017624,              0.0017624
