                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2306,                 1.3751,                 1.0561,                0.83457,                0.88069,                0.90548,                0.56976,                 1.1908,                 1.4908,                 1.0451,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.1563,                 0.8322,                 1.0285,                0.87532,                0.90465,                0.94651,                0.61956,                 1.1221,                0.76919,                 1.0506,              0.0013126,              0.0013126,              0.0013126
                      3,                 1.1249,                0.75375,                 1.0237,                0.85025,                0.92676,                0.95511,                0.63013,                 1.1571,                0.73012,                 1.1429,               0.001953,               0.001953,               0.001953
                      4,                  1.094,                0.66895,                 1.0181,                0.83022,                0.78948,                0.86448,                0.54823,                 1.1748,                 1.1226,                 1.1579,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1164,                0.64811,                 1.0269,                0.82354,                0.79702,                0.87948,                0.55323,                 1.1795,                0.94636,                 1.1813,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0706,                0.58252,                 1.0111,                0.85573,                0.84281,                0.91193,                 0.5856,                  1.188,                 0.7719,                  1.177,               0.001901,               0.001901,               0.001901
                      7,                  1.055,                0.55224,                 1.0078,                0.85481,                0.85557,                0.92117,                0.61788,                 1.1259,                0.78251,                 1.1318,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0479,                0.54033,                 1.0053,                0.85786,                0.89095,                0.92864,                0.61782,                 1.1428,                0.72183,                 1.1084,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.039,                0.52558,                 1.0063,                  0.883,                0.86251,                0.93378,                0.64407,                 1.0979,                0.70515,                 1.1291,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0262,                0.50865,                 1.0044,                0.82585,                0.81966,                0.89334,                0.60537,                 1.1318,                0.98554,                 1.1152,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.024,                0.50155,                0.99979,                 0.8852,                0.90388,                0.94852,                 0.6417,                 1.1321,                0.63796,                 1.1281,               0.001802,               0.001802,               0.001802
                     12,                 1.0229,                0.49055,                 1.0039,                0.88412,                0.87817,                 0.9388,                0.63638,                 1.1256,                0.65992,                 1.1488,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.011,                0.48238,                0.99645,                0.88178,                0.86976,                0.94078,                0.63736,                 1.1258,                0.68255,                 1.1506,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0026,                0.47272,                0.99876,                0.87589,                0.87766,                0.92256,                0.61037,                 1.1801,                 0.7086,                 1.1989,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0088,                0.47393,                 1.0012,                0.82866,                0.82761,                0.89207,                0.59258,                 1.1824,                0.90319,                  1.194,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0002,                0.46194,                0.99674,                0.89848,                0.88703,                0.93463,                0.65907,                 1.0975,                0.68893,                 1.1161,               0.001703,               0.001703,               0.001703
                     17,                0.99648,                 0.4621,                0.99424,                0.86851,                0.84374,                0.91554,                0.60942,                 1.1602,                0.76152,                 1.1808,              0.0016832,              0.0016832,              0.0016832
                     18,                0.99414,                0.46035,                0.99432,                0.87258,                0.86038,                0.92478,                0.64025,                 1.0938,                0.70284,                 1.1345,              0.0016634,              0.0016634,              0.0016634
                     19,                0.98869,                0.45109,                0.99426,                 0.8877,                0.84972,                0.93483,                0.64978,                 1.1142,                0.71584,                 1.1549,              0.0016436,              0.0016436,              0.0016436
                     20,                0.98855,                0.44683,                0.99093,                0.85757,                0.86389,                 0.9181,                0.62107,                 1.1433,                 0.7553,                 1.1756,              0.0016238,              0.0016238,              0.0016238
                     21,                0.98647,                0.44742,                 0.9882,                  0.863,                0.89095,                 0.9353,                0.64773,                 1.1229,                0.67262,                 1.1466,               0.001604,               0.001604,               0.001604
                     22,                0.98235,                0.44319,                0.99129,                0.90118,                0.86533,                0.93224,                0.64833,                 1.1057,                0.67618,                 1.1486,              0.0015842,              0.0015842,              0.0015842
                     23,                0.97375,                0.43663,                0.98872,                0.87948,                0.90586,                0.93952,                0.65499,                 1.0923,                0.60744,                 1.1274,              0.0015644,              0.0015644,              0.0015644
                     24,                0.97377,                0.43734,                 0.9891,                0.84187,                0.86013,                0.90932,                0.61058,                 1.1499,                0.81616,                  1.187,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.9599,                0.42786,                 0.9807,                0.87708,                0.89975,                0.93896,                0.63572,                 1.1219,                0.63792,                 1.1655,              0.0015248,              0.0015248,              0.0015248
