                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2334,                 1.0105,                 1.0861,                0.71154,                0.72744,                0.76449,                0.44838,                 1.2708,                 1.3593,                 1.1698,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.1173,                0.64511,                 1.0252,                0.83392,                0.91651,                0.93018,                0.61761,                 1.1218,                 0.7766,                 1.1074,              0.0013126,              0.0013126,              0.0013126
                      3,                 1.1052,                0.60773,                 1.0272,                0.83654,                0.88578,                0.93993,                0.59356,                 1.2117,                0.69556,                 1.1971,               0.001953,               0.001953,               0.001953
                      4,                 1.0769,                0.55969,                 1.0202,                0.77952,                 0.7591,                0.83026,                0.52048,                 1.2618,                 1.1619,                 1.2319,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0886,                0.55064,                  1.029,                0.82707,                0.84742,                0.90458,                0.59535,                 1.1366,                0.82399,                 1.1611,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0333,                 0.4976,                 1.0086,                0.85551,                0.88254,                0.92986,                0.63724,                 1.0966,                 0.7159,                 1.1239,               0.001901,               0.001901,               0.001901
                      7,                  1.028,                0.48497,                 1.0071,                 0.8096,                0.85053,                0.90195,                0.59442,                 1.1866,                0.84668,                  1.209,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0145,                0.47821,                 1.0003,                0.86137,                0.88565,                0.93957,                0.64973,                 1.0997,                0.68139,                 1.1163,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0062,                0.46206,                 1.0016,                0.86441,                0.83579,                0.92313,                0.62499,                 1.1129,                0.70324,                 1.1585,              0.0018416,              0.0018416,              0.0018416
                     10,                0.99175,                0.44736,                0.99994,                0.81942,                0.82406,                0.88252,                0.60066,                  1.118,                0.93319,                 1.1639,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9957,                0.45409,                0.99798,                0.86261,                0.85375,                 0.9282,                0.61103,                 1.1663,                0.70052,                 1.2107,               0.001802,               0.001802,               0.001802
                     12,                0.99538,                0.44861,                 1.0011,                0.85228,                0.83914,                0.90639,                0.62658,                 1.1045,                0.80323,                 1.1587,              0.0017822,              0.0017822,              0.0017822
                     13,                0.98287,                0.43397,                 0.9928,                0.85074,                0.84316,                 0.9163,                0.61657,                 1.1316,                0.74588,                 1.1697,              0.0017624,              0.0017624,              0.0017624
                     14,                0.97065,                0.42863,                0.99383,                0.81695,                0.81172,                0.87408,                0.55945,                 1.2512,                0.87869,                 1.2897,              0.0017426,              0.0017426,              0.0017426
